"filename", "language", "C++", "HTML", "YAML", "JSON", "Dart", "Swift", "Markdown", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\windows\runner\flutter_window.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 67
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\Dange\Videos\projects\maestros 2\Maestros\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 532, 38, 33, 344, 2602, 44, 13, 488, 8, 93, 351, 512, 5058
